region,prog_type,project,proj_contact,species,run,stock,stock_CU,stock_CU_name,stat_area,obj,strat_lvl,egg_target,prod_activity,stage,relsite,rel_stat_area,target_no,mark,clip,mark_target,comment
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Smolt,Spius Cr,,"15,000",,,,Smolts will be transferred from Spius Creek hatchery and reared in Deadman acclimitization ponds for ~2 weeks prior to release.
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Smolt 1+,Deadman R,29F,"15,000",,,,"Release of 7,000- 15,000 coho smolts (pending survival of fry from natural spawners) into smolt imprinting ponds followed by release into the Deadman River. The reduction in numbers is due to limited rearing capacity at Spius Hatchery & stocks of higher concern/priority. Numbers may increase if status of other stocks change)."
BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J,,Primary,"35,000",Transfer Out,Egg,Kamloops Sch,,"4,800",,,,
BC Interior,CDP,Thompson R N,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Dunn Cr,CO-9,NORTH THOMPSON,29J, Stewardship ,Primary, -   ,Release,Smolt 1+,Dunn Cr,29J,"20,000",,,,Smolt targets will be maintained as recent in-season escapement estimates indicate habitat capacity in Dunn Creek and lake are fully seeded by naturally produced juveniles.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,,Alternate, -   ,Transfer In,Egg,Shuswap R,,"50,000",,,,Eggs trans in from Shuswap R hatchery in case Kingfisher is unable to obtain their egg target.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,,Primary,"60,000",Transfer Out,Egg,Central Okanagan Sch,,400,,,,
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,,Primary, -   ,Transfer Out,Egg,N Okanagan-Shuswap Sch,,700,,,,
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,,Primary, -   ,Transfer Out,Egg,Revelstoke Sch,,300,,,,
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,,Primary, -   ,Transfer Out,Egg,Vernon Sch,,"1,300",,,,
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K, Stewardship ,Primary, -   ,Release,Fed Fry,Shuswap R Low,29K,"50,000",,,,"If Kingfisher can not obtain their egg target, up to 50K eggs may be transferred from Shuswap hatchery."
BC Interior,OPS,Gates Sp Ch,WEM - Tenderfoot Creek Hatchery,Sockeye,Summer,Gates Cr,SEL-L-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,29F, Harvest ,Primary,"27,000,000",Release,Chan Fry,Gates Cr,29F,"13,500,000",,,,Production target is based on adult channel loading capacity and 50% egg to fry survival. Actual production likely to vary.
BC Interior,OPS,Horsefly Sp Ch,WEM - Spius Creek Hatchery,Sockeye,Summer,Horsefly Ch,SEL-L-06-10,QUESNEL-SUMMER TIMING,29G, Harvest ,Primary,"45,000,000",Release,Chan Fry,Horsefly Ch,29G,"22,500,000",,,,Operation of Horsefly River spawning channel is planned for 2014.
BC Interior,OPS,Nadina Sp Ch,Babine Project Manager,Sockeye,Summer,Nadina R,,,29I, Harvest ,Primary,"45,000,000",Release,Chan Fry,Nadina R,29I,"22,500,000",,,,Capacity is 15000 females. A less aggressive loading strategy has been in place since 2012 and will be continued in 2014. Target production number is based on capacity and biolstandard egg to fry: actual production likely to be lower.
BC Interior,OPS,Quesnel R,,Coho,Fall,McKinley Cr,CO-48,INTERIOR FRASER,29G,,Primary,"1,200",Transfer Out,Egg,Pr George (Mackenzie) Sch,,"1,200",,,,
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K,,Alternate,"50,000",Transfer Out,Egg,Kingfisher Cr/TOMF,,"50,000",,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K, Assessment ,Primary,"630,000",Release,Smolt 0+,Shuswap R Low,29K,"530,000",Coded Wire Tag,AD,"530,000",All smolt releases will be coded wire tagged.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K, Assessment ,Primary,"200,000",Release,Smolt 0+,Shuswap R Middle,29K,"170,000",Coded Wire Tag,AD,"170,000",All subyearling releases will be CWT'd.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER-SUMMER TIMING-AGE 0.3,29K, Rebuilding ,Primary, -   ,Release,Smolt 1+,Shuswap R Middle,29K,"20,000",Coded Wire Tag,AD,"20,000",Experimental yearling smolt release group will be coded wire tagged to assess relative survival and maturation rates against traditional subyearling release. Recent review of scale data indicates there is a small yearling component  that occurs naturally.Yearling production is a lower priority than subyearling target and will only proceed if subyearling target is met.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F, Rebuilding ,Primary,"100,000",Release,Fed Fry,Coldwater R,29F,"30,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F,"65,000",Thermal,N/A,"65,000",2014 brood will be thermal marked for assessment of enhanced contribution in river return.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F, Assessment/Rebuilding ,Primary,"260,000",Release,Fed Fry,Nicola R,29F,"50,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F, Assessment/Rebuilding ,Primary, -   ,Release,Smolt 1+,Nicola R,29F,"200,000",Coded Wire Tag,AD,"200,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON-SUMMER TIMING-AGE 1.3,29K, Rebuilding ,Primary,"80,000",Release,Fed Fry,Salmon R/TOMF,29K,"70,000",Thermal,N/A,"70,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F, Rebuilding ,Primary,"100,000",Release,Fed Fry,Spius Cr,29F,"30,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON-SPRING TIMING-AGE 1.2,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Spius Cr,29F,"65,000",Thermal,N/A,"65,000",In 2014 Spius Creek Chinook will be thermally otolith marked to assess enhanced contribution to spawning escapement.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER-SUMMER TIMING,29G,,Primary,"150,000",Transfer Out,Fry,Spius Cr,,"150,000",,,,Transferred to Chehalis River hatchery for secondary rearing
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER-SUMMER TIMING,29G, Assessment/Rebuilding ,Primary, -   ,Release,Fed Fry,Chilko R,29G,"50,000",Thermal,N/A,"150,000",Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target that will be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment/Conservation ,Primary,"110,000",Release,Fed Fry,Coldwater R,29F,"40,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects that healthy fry that are surplus to the smolt target  will be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment/Conservation ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F,"65,000",Coded Wire Tag,AD,"65,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer Out,Smolt,Spius Cr,,"15,000",,,,"Lower target of Deadman R smolts maintained in 2014 to allow for higher priority coho conservation and indicator production at Coldwater, Salmon and Eagle rivers, and Chinook production for Nicola, Salmon Spius & Coldwater. If other stock targets are reached, a minimum of 7K Deadman coho smolts will be produced. Smolts are transferred to Deadman hatchery acclimation ponds for ~ 2 weeks prior to release."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary,"30,000",Release,Fed Fry,Deadman R,29F,"20,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects the maximum number of healthy fry that are surplus to the smolt target that may be released. The actual release will range from 8K - 20K.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment/Conservation ,Primary,"90,000",Release,Fed Fry,Eagle R,29K,"20,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects the maximum number of healthy fry that are surplus to the smolt target that may be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment/Conservation ,Primary, -   ,Release,Smolt 1+,Eagle R,29K,"65,000",Coded Wire Tag,AD,"65,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Salmon R/TOMF,CO-8,SOUTH THOMPSON,29K, Conservation ,Primary,"95,000",Release,Fed Fry,Salmon R/TOMF,29K,"30,000",,,,Excess eggs are taken to ensure smolt target will be met in the event disease screening requires culling; this production line reflects the maximum number of healthy fry that are surplus to the smolt target that may be released.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Salmon R/TOMF,CO-8,SOUTH THOMPSON,29K, Conservation ,Primary, -   ,Release,Smolt 1+,Salmon R/TOMF,29K,"65,000",Fin Clip,AD,"65,000","Salmon River saw a very high coho return in 2013. Although smolt target is maintained at 65K, an in-season decision to reduce this target may be made if fence counts indicate a very strong return in 2014. This reduction would be made in order to provide capacity at Spius Creek hatchery for other stocks of higher conservation concern (e.g. Spius & Coldwater Chinook)"
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Spius Cr,CO-7,LOWER THOMPSON,29F,,Primary,600,Transfer Out,Egg,Nicola-Similkameen Sch,,600,,,,For transfer out to Stream to Sea program.
BC North Coast,AFS,Emily Lk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Summer,Howyette R,,,7, Rebuilding ,Alternate,"100,000",Release,Unfed,A Creek,15,"90,000",,,,"A maximum of one of Kwakusdis, Kadjuskis and Howyette may be enhanced in 2014. All have been included as alternates."
BC North Coast,AFS,Emily Lk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Summer,Kadjusdis Cr,,,7, Rebuilding ,Alternate,"100,000",Release,Unfed,Kadjusdis Cr,7,"90,000",,,,"A maximum of one of Kwakusdis, Kadjuskis and Howyet may be enhanced in 2014. All have been included as alternates."
BC North Coast,AFS,Emily Lk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Summer,Kwakusdis R,,,7, Rebuilding ,Alternate,"100,000",Release,Unfed,Kwakusdis R,7,"90,000",,,,"A maximum of one of Kwakusdis, Kadjuskis and Howyet may be enhanced in 2014. All have been included as alternates."
BC North Coast,AFS,Emily Lk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Summer,Tankeeah R,SEL-L-19-60,TANKEEAH RIVER,7, Rebuilding ,Primary,"100,000",Release,Unfed,Tankeeah Lk,7,"80,000",,,,
BC North Coast,AFS,Victor Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Sockeye,Fall,Lagoon Cr/CCST,SEL-L-19-50,RODERICK,7, Rebuilding ,Primary,"75,000",Release,Fed Fry,Roderick Lk,7,"65,000",Fin Clip,AD,"40,000",
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Chum,Fall,Hartley Bay Cr,,,6, Rebuilding ,Primary,"25,000",Release,Fed Fry,Hartley Bay Cr,6,"20,000",,,,
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,,,6, Harvest ,Primary, -   ,Release,Smolt 1+,Hartley Bay Cr,6,"30,000",,,,
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,,,6, Harvest ,Primary,"400,000",Release,Fed Fry,Hartley Bay Lk,6,"100,000",,,,
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,,,6, Harvest ,Primary, -   ,Release,Fed Fry,Red Bluff Lk,6,"60,000",,,,
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,,,6, Harvest ,Primary, -   ,Release,Fed Fry,Union Pass Lk,6,"70,000",,,,
BC North Coast,CDP,Hartley Bay Cr,CA - Northern Interior & N Coast,Coho,Fall,Hartley Bay Cr,,,6, Harvest ,Primary, -   ,Release,Fed Fry,Whalen Lk,6,"80,000",,,,
BC North Coast,CDP,Heiltsuk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Chum,Fall,McLaughlin Bay Cr,CM-15,SPILLER-FITZ HUGH-BURKE,7, Harvest ,Primary,"2,500,000",Release,Seapen,McLaughlin Bay,7,"1,800,000",,,,
BC North Coast,CDP,Heiltsuk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,McLaughlin Bay Cr,CO-27,HECATE STRAIT MAINLAND,7,,Primary,"90,100",Transfer Out,Egg,Central Coast Sch,,100,,,,
BC North Coast,CDP,Heiltsuk,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,McLaughlin Bay Cr,CO-27,HECATE STRAIT MAINLAND,7, Harvest ,Primary, -   ,Release,Seapen 1+,McLaughlin Bay,7,"43,200",,,,Production increase to account for eggs screened out for BKD
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Chum,Fall,Kitasoo Cr,CM-18,HECATE LOWLANDS,7, Harvest ,Primary,"1,500,000",Release,Seapen,Trout Bay,7,"1,080,000",,,,
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,Kitasoo Cr,CO-27,HECATE STRAIT MAINLAND,7,,Primary,"80,100",Transfer Out,Egg,Central Coast Sch,,100,,,,
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,Kitasoo Cr,CO-27,HECATE STRAIT MAINLAND,7, Harvest ,Primary, -   ,Release,Fed Fry,Klemtu Cr,7,"10,000",,,,This is a contingency/backup target to allow for surplus fry from Kitasoo Creek to be released. Kitasoo Creek is thought to be fully seeded.
BC North Coast,CDP,Kitasoo Cr,"CA - Central Coast, Cape Caution to Caamano Sound, east to Tatla Lake",Coho,Fall,Kitasoo Cr,CO-27,HECATE STRAIT MAINLAND,7, Harvest ,Primary, -   ,Release,Seapen 1+,Trout Bay,7,"43,200",,,,BKD screening can result in egg culls and/or fry releases. Egg and release targets (see Klemtu Cr) adjusted to reflect this.
BC North Coast,CDP,Masset,CA - Haida Gwaii,Chinook,Summer,Yakoun R,CK-43,HAIDA GWAII-NORTH,1, Rebuilding ,Primary,"250,000",Release,Smolt 0+,Yakoun R,1,"225,000",,,,
BC North Coast,CDP,Masset,CA - Haida Gwaii,Coho,Fall,Mamin R,CO-25,HG-GRAHAM ISLAND LOWLANDS,1,,Primary,"40,000",Transfer Out,Egg,Haida Gwaii Sch,,100,,,,
BC North Coast,CDP,Masset,CA - Haida Gwaii,Coho,Fall,Mamin R,CO-25,HG-GRAHAM ISLAND LOWLANDS,1, Harvest ,Primary, -   ,Release,Fed Fry,Mamin R,1,"36,000",,,,"This stock used to be reared at the Port Clements site, but water supply has been lost. Mamin coho will be incubated and reared at Old Masset hatchery, in partnership with Port Clements R&G Club.  Fry stocked above an impassable barrier."
BC North Coast,CDP,Masset,CA - Haida Gwaii,Coho,Fall,Yakoun R,CO-25,HG-GRAHAM ISLAND LOWLANDS,1, Harvest ,Primary,"100,000",Release,Smolt 1+,Yakoun R,1,"90,000",,,,
