region,prog_type,project,proj_contact,species,run,stock,stock_CU,stock_CU_name,stat_area,obj,strat_lvl,egg_target,prod_activity,stage,relsite,rel_stat_area,target_no,mark,clip,mark_target,comment
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Fry,Thompson R N,,"10,000",,,,"Fish in excess of 20,000 will be released as fry in Deadman River based on Habitat Capacity calculations"
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary, -   ,Transfer In,Smolt,Thompson R N,,"20,000",,,,
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F,,Primary,"30,000",Transfer Out,Egg,Thompson R N,,"30,000",,,,"Brood collected at Deadman and transported to Dunn Cr for spawning. 30K eggs reared at Dunn. 20K smolt and 10K fry transferred back to Deadman, acclimatized and released."
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Fed Fry,Deadman R,29F,"10,000",,,,
BC Interior,CDP,Deadman R,"CA - Central Interior, Boston Bar to 100 Mile",Coho,Fall,Deadman R,CO-7,LOWER THOMPSON,29F, Conservation ,Primary, -   ,Release,Smolt 1+,Deadman R,29F,"20,000",,,,
BC Interior,OPS,Gates Sp Ch,WEM - Tenderfoot Creek Hatchery,Sockeye,Summer,Gates Cr,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,29F, Harvest ,Primary,"27,000,000",Release,Chan Fry,Gates Cr,29F,"13,500,000",,,,2017: No changes to production plan
BC Interior,OPS,Horsefly Sp Ch,WEM - Spius Creek Hatchery,Sockeye,Summer,Horsefly Ch,SEL-06-10,QUESNEL-SUMMER TIMING,29G, Harvest ,Primary, -   ,Release,Chan Fry,Horsefly R,29G, -   ,,,,2017: channel will not be operated in 2017 to allow for infastructure upgrades.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary,"60,000",Transfer Out,Egg,N Okanagan-Shuswap Sch,,700,,,,Schools release directly into Lower Shuswap as fed fry.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary, -   ,Transfer Out,Egg,Revelstoke Sch,,300,,,,Schools release directly into Lower Shuswap as fed fry.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K,,Primary, -   ,Transfer Out,Egg,Vernon Sch,,950,,,,Schools release directly into Lower Shuswap as fed fry.
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Kingfisher Cr/TOMF,,,29K, Stewardship ,Primary, -   ,Release,Fed Fry,Shuswap R Low,29K,"50,000",,,,
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer In,Egg,Shuswap R,,"50,000",,,,"If Kingfisher can not obtain their egg target, up to 50K eggs may be transferred from Shuswap hatchery."
BC Interior,DPI,Kingfisher Cr/TOMF,"CA - Central Interior, Boston Bar to 100 Mile",Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate, -   ,Transfer Out,Egg,Central Okanagan Sch,,"1,100",,,,Alternate to Mission Cr Kokanee eggs (SD #23 - Central -Okanagan)
BC Interior,OPS,Nadina Sp Ch,Babine Project Manager,Sockeye,Summer,Nadina R,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,29I, Harvest ,Primary,"45,000,000",Release,Chan Fry,Nadina R,29I,"22,500,000",,,,2017: no changes from previous year production plan.  Target production number is based on capacity and egg to fry biostandard; actual production will likely be lower.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K,,Alternate,"50,000",Transfer Out,Egg,Kingfisher Cr/TOMF,,"50,000",,,,50K eggs transferred to Kingfisher Interpretive Centre (KIC) if KIC is unable to reach its egg target.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Low,29K,"530,000",Coded Wire Tag,AD,"530,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Low,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"630,000",Release,Smolt 0+,Shuswap R Low,29K, -   ,Parentage-based Tagging,N/A,"530,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary,"200,000",Release,Smolt 0+,Shuswap R Middle,29K,"150,000",Coded Wire Tag,AD,"150,000",2017 - StAD to fund tagging.
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Assessment ,Primary, -   ,Release,Smolt 0+,Shuswap R Middle,29K, -   ,Parentage-based Tagging,N/A,"150,000",
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Rebuilding ,Primary, -   ,Release,Smolt 1+,Shuswap R Middle,29K,"20,000",Coded Wire Tag,AD,"20,000","Yearling production is a lower priority than subyearling target and will only proceed if subyearling target is met. This is an experimental release to assess the success of this yearling strategy.  2017 - Stad intially committed to tagging this group but upon review during production plan finalization, decision made that SEP will fund tagging."
BC Interior,OPS,Shuswap R,WEM - Shuswap River Hatchery,Chinook,Summer,Shuswap R Middle,CK-15,SHUSWAP RIVER_SU_0.3,29K, Rebuilding ,Primary, -   ,Release,Smolt 1+,Shuswap R Middle,29K, -   ,Parentage-based Tagging,N/A,"20,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary,"95,000",Release,Fed Fry,Coldwater R,29F,"30,000",Thermal,N/A,"30,000",This production line reflects a contigency plan for release of healthy fry after disease screening.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Coldwater R,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F,"55,000",Thermal,N/A,"55,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment/Rebuilding ,Primary, -   ,Release,Smolt 1+,Nicola R,29F,"200,000",Coded Wire Tag,AD,"200,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment/Rebuilding ,Primary, -   ,Release,Smolt 1+,Nicola R,29F, -   ,Parentage-based Tagging,N/A,"200,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Nicola R,CK-17,LOWER THOMPSON_SP_1.2,29F, Assessment/Rebuilding ,Primary,"260,000",Release,Fed Fry,Spahomin Cr,29F,"50,000",,,,This production line reflects a contigency plan for the release of healthy fry after disease sceening.  2017: release site changed from Nicola main stem to Spahomin Creek which is the upper Nicola region.  Less adult spawning so lower fry density.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Salmon R/TOMF,CK-14,SOUTH THOMPSON_SU_1.3,29K, Rebuilding ,Primary,"80,000",Release,Fed Fry,Salmon R/TOMF,29K,"70,000",Thermal,N/A,"70,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Spring,Spius Cr,CK-17,LOWER THOMPSON_SP_1.2,29F, Rebuilding ,Primary,"65,000",Release,Fed Fry,Spius Cr,29F,"55,000",Thermal,N/A,"55,000","2017: 	Release strategy changed from 55,000 yearling smolt release to 55,000 fed fry release.  Based on recent assessment data.  Change was required to allow for sufficient rearing space for indicator stocks."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chehalis R,CK-9006,FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>,29D,,Primary, -   ,Transfer In,Egg,Chehalis R,,"115,000",,,,Transferred from Chehalis to Spius for rearing and thermal marking.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chehalis R,CK-9006,FRASER-CROSS-CU SUPPLEMENTATION EXCLUSION<<BIN>>,29D,,Primary, -   ,Transfer Out,Fry,Chehalis R,,"110,000",,,,Transfer back to Chehalis hatchery after rearing and thermal marking.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary,"150,000",Transfer Out,Egg,Car-Chilc (Williams) Sch,,300,,,,
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Chehalis R,,"68,000",,,,"2017: new interim rearing site (Inch Cr) was added in-season for the 2016 brood, in addition to Chehalis. They were able to accommodate 32K in 2016.  In-season change will be made if this can be increased for 2017.  Current plan of 100K would leave Chehalis with 68K."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G,,Primary, -   ,Transfer Out,Fry,Inch Cr,,"32,000",,,,"2017: new interim rearing site (Inch Cr) was added in-season for the 2016 brood, in addition to Chehalis. They were able to accommodate 32K in 2016.  In-season change will be made if this can be increased for 2017.  Current plan of 100K would leave Chehalis with 68K."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Chinook,Summer,Chilko R,CK-11,MIDDLE FRASER RIVER_SU_1.3,29G, Assessment/Rebuilding ,Primary, -   ,Release,Fed Fry,Chilko R,29G,"50,000",Coded Wire Tag,AD,"50,000",This production line reflects a contigency release of healthy fry after disease screening.  2017 -  StAD will risk manage the tagging of the fry release group.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F,,Primary,"225,000",Transfer Out,Fry,Chilliwack R,,"135,000",,,,"PSC funded starting with 2016 brood.  In addition to existing target at Spius facility, an additional 120K eggs are targeted to be transferred to Chilliwack for rearing and tagging."
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment/Conservation ,Primary, -   ,Release,Fed Fry,Coldwater R,29F,"25,000",,,,This production line reflects a contigency plan for the release of healthy fry after disease sceening.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment/Conservation ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F,"65,000",Coded Wire Tag,AD,"65,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Coldwater R,CO-7,LOWER THOMPSON,29F, Assessment/Conservation ,Primary, -   ,Release,Smolt 1+,Coldwater R,29F, -   ,Parentage-based Tagging,N/A,"65,000",
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment/Conservation ,Primary,"90,000",Release,Fed Fry,Eagle R,29K,"20,000",,,,This production line reflects a contigency plan for the release of healthy fry after disease sceening.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment/Conservation ,Primary, -   ,Release,Smolt 1+,Eagle R,29K,"65,000",Coded Wire Tag,AD,"65,000",All broodstock will be DNA sampled for parental-based tagging of the juveniles.
BC Interior,OPS,Spius Cr,WEM - Spius Creek Hatchery,Coho,Fall,Eagle R,CO-8,SOUTH THOMPSON,29K, Assessment/Conservation ,Primary, -   ,Release,Smolt 1+,Eagle R,29K, -   ,Parentage-based Tagging,N/A,"65,000",
