Stock,Region,Catch.Year,CWTs,Ages,SEAK.Troll,SEAK.Net,SEAK.Sport,NBC.Troll,NBC.Sport,WCVI.Troll,WCVI.Sport,ISBM.NCBC.Troll,ISBM.NCBC.Net,ISBM.NCBC.Sport,ISBM.SBC.Troll,ISBM.SBC.Net,ISBM.SBC.Sport,ISBM.NF.Troll,ISBM.NF.Sport,ISBM.SF.Troll,ISBM.SF.Sport,ISBM.WAC.Net,ISBM.PS.Net,ISBM.PS.Sport,Term.SEAK.Troll,Term.SEAK.Net,Term.SEAK.Sport,Term.CAN.Net,Term.CAN.Sport,Term.SUS.Troll,Term.SUS.Net,Term.SUS.Sport,Stray,Escapement
Nicola,Fraser,1992,567,"3,4,5,6",0.00,0.00,0.00,5.47,0.00,5.47,0.00,2.65,0.00,0.00,0.00,0.88,8.11,5.11,0.00,0.53,0.00,0.00,0.00,6.88,0.00,0.00,0.00,6.17,7.23,0.00,0.00,0.00,0.35,51.15
Nicola,Fraser,1993,1271,"3,4,5,6",0.00,0.00,0.00,3.15,0.00,5.51,1.18,0.00,0.16,0.00,0.00,1.18,6.77,1.89,0.00,0.00,0.00,0.00,0.00,3.15,0.00,0.00,0.00,9.21,5.11,0.00,0.00,0.00,0.00,62.71
Nicola,Fraser,1994,2114,"3,4,5,6",0.00,0.00,0.00,0.28,0.00,3.93,0.38,0.00,0.19,0.00,0.00,0.00,3.45,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,7.81,0.00,0.00,0.00,0.24,82.12
Nicola,Fraser,1995,1877,"3,4,5,6",0.00,0.00,0.00,0.27,0.64,1.70,0.53,0.00,0.00,0.00,0.00,1.28,3.09,0.11,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,3.36,3.62,0.00,0.00,0.00,0.00,85.03
Nicola,Fraser,1996,69,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.84,0.00,0.00,0.00,0.00,0.00,81.16
Nicola,Fraser,1997,224,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,3.13,4.91,0.00,0.00,0.00,0.00,0.00,0.00,11.16,0.00,0.00,0.00,1.79,6.25,0.00,0.00,0.00,0.00,71.88
Nicola,Fraser,1998,418,"3,4,5,6",0.00,0.00,0.00,0.00,4.78,0.00,0.00,0.00,0.00,0.00,0.00,0.96,2.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.05,16.99,0.00,0.00,0.00,0.00,64.35
Nicola,Fraser,1999,2424,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.78,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,6.89,2.19,0.00,0.00,0.00,0.00,89.36
Nicola,Fraser,2000,1771,"3,4,5,6",0.00,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.96,5.31,0.00,0.00,0.00,0.00,80.18
Nicola,Fraser,2001,2263,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,4.15,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.72,4.37,0.00,0.00,0.00,0.00,83.87
Nicola,Fraser,2002,2319,"3,4,5,6",0.00,0.00,0.00,1.47,0.34,0.60,0.00,0.00,0.22,0.00,0.00,0.00,1.12,0.69,0.22,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.97,2.46,0.00,0.00,0.00,0.00,88.79
Nicola,Fraser,2003,1810,"3,4,5,6",0.17,0.00,0.00,2.82,0.00,0.88,0.61,0.00,0.00,0.00,0.00,0.00,2.71,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,6.74,0.00,0.00,0.00,0.00,84.97
Nicola,Fraser,2004,441,"3,4,5,6",0.00,0.00,0.00,2.27,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.58,0.00,0.00,0.00,0.00,0.00,67.35
Nicola,Fraser,2005,413,"3,4,5,6",0.00,0.00,0.00,1.45,0.00,3.87,0.00,0.00,0.00,0.00,0.00,0.00,6.78,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.53,14.77,0.00,0.00,0.00,0.00,58.11
Nicola,Fraser,2006,432,"3,4,5,6",0.00,0.00,0.00,1.62,0.00,1.62,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.46,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,13.89,9.49,0.00,0.00,0.00,0.00,69.44
Nicola,Fraser,2007,157,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.21,21.66,0.00,0.00,0.00,0.00,39.49
Nicola,Fraser,2008,624,"3,4,5,6",0.00,0.00,0.00,1.44,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.01,2.24,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.38,3.53,0.00,0.48,0.00,0.00,75.96
Nicola,Fraser,2009,293,"3,4,5,6",0.00,0.00,0.00,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.19,3.41,0.00,0.00,0.00,0.00,0.00,3.75,0.00,0.00,0.00,18.77,20.14,0.00,0.00,0.00,0.00,45.39
Nicola,Fraser,2010,2328,"3,4,5,6",0.43,0.00,0.00,1.55,0.17,0.00,0.09,0.00,0.00,0.00,0.00,0.00,1.76,0.77,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,90.16
Nicola,Fraser,2011,683,"3,4,5,6",0.00,0.00,0.00,0.88,0.00,0.00,0.44,0.00,0.00,0.00,0.00,0.44,4.39,2.05,0.29,0.00,0.00,0.00,0.00,1.46,0.00,0.00,0.00,3.81,2.49,0.00,0.00,0.00,0.00,83.75
Nicola,Fraser,2012,724,"3,4,5,6",0.00,0.00,0.00,0.55,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.55,4.28,8.15,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.13,0.83,0.00,0.00,0.00,0.00,67.13
Nicola,Fraser,2013,1466,"3,4,5,6",0.00,0.00,0.00,1.23,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.55,4.64,3.34,0.27,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00,1.57,0.00,0.00,0.00,0.00,0.00,87.04
Nicola,Fraser,2014,436,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00,0.00,0.00,1.61,0.92,1.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17,0.92,0.00,0.00,0.00,0.00,83.72
Nicola,Fraser,2015,1549,"3,4,5,6",0.00,0.00,0.00,0.26,0.19,0.26,0.00,0.00,0.00,0.00,0.00,0.90,3.42,0.90,0.19,0.00,0.00,0.00,0.19,0.58,0.00,0.00,0.00,10.01,0.00,0.00,0.00,0.00,0.00,83.09
Nicola,Fraser,2016,974,"3,4,5,6",0.21,0.00,0.00,1.75,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.72,10.27,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.06,0.00,0.00,0.00,0.00,0.00,75.05
Nicola,Fraser,2017,1086,"3,4,5,6",0.00,0.00,0.00,1.01,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.18,3.41,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.64,0.00,0.00,0.00,0.00,0.00,84.71
Nicola,Fraser,2018,927,"3,4,5,6",0.00,0.00,0.00,0.00,0.32,1.08,0.00,0.00,0.00,0.00,0.00,1.19,4.85,1.51,0.00,0.00,0.00,0.00,0.32,0.65,0.00,0.00,0.00,16.94,0.00,0.00,0.00,0.00,0.00,73.14
Nicola,Fraser,2019,1263,"3,4,5,6",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.95,0.79,0.95,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.00,0.00,94.70
Nanaimo,ECVI,1982,1551,"2,3",0.52,0.13,0.00,1.93,0.00,1.55,0.00,4.51,4.58,0.00,17.15,27.66,34.30,0.00,0.00,0.00,0.00,0.00,0.32,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.06,6.38
Nanaimo,ECVI,1983,1874,"3,4",1.55,0.21,0.00,2.08,0.00,3.26,0.00,15.26,1.71,0.16,18.20,6.14,28.01,0.00,0.00,0.00,0.00,0.00,0.16,0.80,0.00,0.00,0.00,0.48,0.00,0.00,0.43,0.00,0.00,21.56
Nanaimo,ECVI,1984,540,"2,4,5",4.26,0.00,0.00,1.85,0.00,1.67,0.00,12.59,2.96,0.00,1.11,16.30,46.67,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,11.11
Nanaimo,ECVI,1985,57,"3,5",15.79,7.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,10.53,35.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00,0.00,0.00,12.28
Nanaimo,ECVI,1990,409,"2,3",0.00,0.00,0.00,0.49,0.00,2.44,0.00,0.73,9.05,0.00,4.16,20.54,56.48,0.24,0.00,0.00,0.00,0.00,1.47,1.22,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.24,1.22
Nanaimo,ECVI,1991,1193,"2,3,4",0.17,0.42,0.00,0.75,0.08,1.76,0.34,1.09,2.10,0.08,6.87,6.12,57.59,0.67,0.00,0.00,0.00,0.00,1.76,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.25,18.86
Nanaimo,ECVI,1992,2328,"2,3,4,5",0.09,0.00,0.00,0.82,0.00,5.11,0.00,1.25,2.19,0.21,8.16,3.35,48.71,0.39,0.09,0.00,0.00,0.00,0.39,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.30,28.05
Nanaimo,ECVI,1993,1647,"2,3,4,5",0.06,0.36,0.00,1.70,0.24,2.73,0.00,1.34,1.03,0.00,6.07,3.40,57.80,0.55,0.00,0.00,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.36,23.13
Nanaimo,ECVI,1994,507,"2,3,4,5",0.59,0.00,0.00,0.79,0.00,3.75,0.00,0.00,1.18,0.99,0.79,5.52,40.83,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.39,42.80
Nanaimo,ECVI,1995,1626,"2,3,4,5",0.00,0.00,0.00,0.00,0.00,1.48,0.25,0.00,1.35,0.18,0.00,1.72,38.19,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.00,0.00,0.00,0.31,0.18,0.00,0.00,0.00,0.18,54.31
Nanaimo,ECVI,1996,945,"2,3,4,5",0.00,1.27,0.00,0.00,0.00,0.32,0.42,0.00,2.12,0.00,0.00,0.21,68.25,0.21,0.00,0.00,0.00,0.00,0.00,3.17,0.00,0.00,0.00,3.70,0.00,0.00,0.42,0.00,2.22,17.67
Nanaimo,ECVI,1997,286,"2,3,4,5",6.29,0.00,0.00,4.20,0.00,0.70,0.35,2.80,1.40,0.00,0.00,1.40,40.91,0.00,0.00,0.00,0.00,1.05,2.45,4.20,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.70,32.52
Nanaimo,ECVI,1998,265,"2,3,4,5",1.13,4.53,0.00,6.04,0.00,0.38,0.00,0.00,0.38,1.89,0.00,1.51,43.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,2.64,36.98
Nanaimo,ECVI,1999,303,"2,3,4,5",0.00,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,39.27,0.00,0.00,0.00,0.00,0.00,0.00,2.97,0.00,0.00,0.00,0.99,0.66,0.00,2.64,0.00,2.31,50.17
Nanaimo,ECVI,2000,173,"3,4,5",1.16,0.00,0.00,0.00,0.00,2.89,2.89,0.00,0.00,0.00,0.00,0.00,52.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,2.31,33.53
Nanaimo,ECVI,2001,533,"2,4,5",0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,39.96,0.00,0.00,0.00,0.00,0.00,0.00,9.57,0.19,0.00,0.00,2.44,0.00,0.00,2.81,0.00,0.38,43.71
Nanaimo,ECVI,2002,924,"2,3,5",0.32,0.11,0.00,0.00,0.22,0.97,0.11,0.00,0.00,0.43,0.00,2.60,43.18,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.54,0.00,0.00,4.22,0.00,0.00,2.06,0.00,0.54,40.69
Nanaimo,ECVI,2003,864,"2,3,4",0.12,0.69,0.12,0.12,0.00,3.70,0.00,0.00,0.00,2.43,0.00,0.00,25.46,0.00,0.00,0.00,0.00,0.00,0.23,3.24,0.00,0.00,0.00,1.27,0.00,0.00,1.97,0.00,2.08,58.56
Nanaimo,ECVI,2004,803,"2,3,4,5",1.12,0.00,0.00,0.75,2.37,5.48,1.12,0.00,0.00,2.74,0.00,0.00,17.19,0.75,0.00,0.00,0.00,0.00,1.00,3.11,0.00,0.00,0.00,1.37,0.00,0.00,0.50,0.00,4.61,57.91
Nanaimo,ECVI,2005,419,"3,4,5",0.72,0.00,0.72,1.91,0.00,7.64,0.00,0.00,0.00,7.88,0.00,0.00,15.99,0.00,0.00,0.00,0.00,0.00,0.72,1.19,0.00,0.00,0.00,24.11,0.00,0.00,2.39,0.00,0.72,36.04
Nanaimo,ECVI,2006,1545,"2,4,5",0.32,0.00,0.00,0.06,0.00,0.45,0.06,0.00,0.00,0.13,0.00,0.00,15.21,0.00,0.00,0.06,0.00,0.00,0.06,1.68,0.00,0.00,0.00,4.79,0.00,0.00,0.06,0.00,1.55,75.53
Nanaimo,ECVI,2007,1092,"3,5",1.28,0.00,0.00,0.09,0.00,4.40,0.46,0.00,0.00,0.92,0.00,0.00,35.26,0.18,0.00,0.46,0.00,0.00,0.00,0.82,0.00,0.00,0.00,5.13,0.00,0.00,1.10,0.00,1.10,48.81
Middle Shuswap,Fraser,2011,58,"2,3",6.90,0.00,1.72,6.90,3.45,0.00,0.00,0.00,0.00,0.00,0.00,1.72,5.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.86,1.72,0.00,0.00,0.00,0.00,46.55
Middle Shuswap,Fraser,2012,283,"2,3,4",8.48,0.00,1.77,10.60,9.19,2.12,0.35,0.00,0.00,0.35,0.00,0.71,14.13,2.12,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.13,2.83,0.00,0.00,0.00,1.41,37.46
Middle Shuswap,Fraser,2013,1700,"2,3,4,5",2.35,0.00,0.53,7.35,4.12,0.29,0.65,0.00,0.00,0.12,0.00,1.06,14.71,0.12,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.12,3.65,0.00,0.00,0.00,1.29,60.47
Middle Shuswap,Fraser,2014,1225,"2,3,4,5",9.39,0.00,0.82,6.86,5.47,3.02,2.20,0.00,0.00,0.41,0.00,1.47,7.67,0.82,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.76,4.82,0.00,0.00,0.00,0.49,52.65
Middle Shuswap,Fraser,2015,2080,"2,3,4,5",4.23,0.00,0.48,2.12,1.73,1.63,1.11,0.00,0.00,0.34,0.00,0.72,14.23,1.68,0.10,0.00,0.00,0.00,0.19,1.11,0.00,0.00,0.00,1.68,3.32,0.00,0.00,0.00,4.76,60.58
Middle Shuswap,Fraser,2016,406,"2,3,4,5",3.94,0.00,0.25,6.16,5.67,0.74,0.00,0.00,0.00,2.46,0.00,0.49,13.79,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.87,0.99,0.00,0.00,0.00,4.93,50.99
Middle Shuswap,Fraser,2017,475,"2,3,4,5",7.58,0.00,2.11,6.95,1.05,1.47,0.00,0.00,0.00,0.84,0.00,0.00,15.37,0.42,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,4.63,3.79,0.00,0.00,0.00,0.84,54.53
Middle Shuswap,Fraser,2018,1325,"2,3,4,5",0.91,0.00,0.30,1.66,1.28,1.51,1.58,0.00,0.00,0.00,0.00,1.21,15.70,0.30,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,6.72,1.81,0.00,0.00,0.00,0.83,66.11
Middle Shuswap,Fraser,2019,1040,"2,3,4,5",0.48,0.00,0.00,0.00,0.96,0.00,0.77,0.00,0.00,0.77,0.00,0.48,2.02,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.77,3.85,0.00,0.00,0.00,5.10,84.42
Kitsumkalum.Yearling,North Coast,2003,87,"3,4",34.48,1.15,13.79,12.64,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.48
Kitsumkalum.Yearling,North Coast,2004,870,"3,4,5",19.08,0.34,3.68,3.10,7.24,0.00,0.00,0.00,2.64,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.91,0.00,0.00,0.00,0.00,58.51
Kitsumkalum.Yearling,North Coast,2005,608,"3,4,5,6",28.78,0.00,9.70,4.77,2.96,0.00,0.00,0.00,0.00,6.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.40,0.00,0.00,0.00,0.00,39.80
Kitsumkalum.Yearling,North Coast,2006,517,"3,4,5,6",18.18,2.32,3.48,3.29,8.32,0.00,0.00,0.00,5.03,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,55.32
Kitsumkalum.Yearling,North Coast,2007,831,"3,4,5,6",19.86,7.22,3.25,1.56,6.50,0.24,0.00,0.00,7.58,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,51.38
Kitsumkalum.Yearling,North Coast,2008,799,"4,5,6",12.14,0.00,7.01,0.75,9.26,0.00,0.00,0.00,24.28,14.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.13,0.00,0.00,0.00,0.00,25.78
Kitsumkalum.Yearling,North Coast,2009,648,"3,5,6",14.51,0.00,7.72,1.23,4.94,0.00,0.00,0.00,0.31,4.94,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,62.35
Kitsumkalum.Yearling,North Coast,2010,393,"3,4,6",12.98,0.25,2.80,2.54,3.31,0.00,0.00,0.00,2.54,10.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.36,0.00,0.00,0.00,0.00,58.52
Kitsumkalum.Yearling,North Coast,2011,261,"3,4,5",21.84,1.15,1.92,3.45,4.60,0.00,0.00,0.00,4.21,11.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.83,0.00,0.00,0.00,0.00,47.89
Kitsumkalum.Yearling,North Coast,2012,340,"3,4,5,6",28.24,0.00,2.06,0.88,2.65,0.00,0.00,0.00,2.06,16.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.47,0.00,0.00,0.00,0.00,41.18
Kitsumkalum.Yearling,North Coast,2013,450,"3,4,5,6",9.11,0.22,0.67,0.67,2.89,0.00,0.00,0.00,0.89,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.00,0.00,0.00,0.00,75.78
Kitsumkalum.Yearling,North Coast,2014,586,"3,4,5,6",18.09,3.07,1.02,2.90,3.07,0.00,0.00,0.00,0.00,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.27,0.00,0.00,0.00,0.00,65.19
Kitsumkalum.Yearling,North Coast,2015,1273,"3,4,5,6",9.90,1.02,3.93,1.26,5.89,0.00,0.00,0.00,0.00,3.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.91,0.00,0.00,0.00,0.00,67.71
Kitsumkalum.Yearling,North Coast,2016,592,"3,4,5,6",5.24,6.76,4.22,3.38,5.91,0.00,0.00,0.00,0.00,6.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.81,0.00,0.00,0.00,0.00,56.93
Kitsumkalum.Yearling,North Coast,2017,662,"3,4,5,6",4.68,4.83,4.08,3.32,2.87,0.00,0.00,0.00,0.45,6.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.55,0.00,0.00,0.00,0.00,65.71
Kitsumkalum.Yearling,North Coast,2018,1312,"3,4,5,6",2.82,0.23,1.07,0.46,3.73,0.00,0.00,0.00,0.00,4.80,0.00,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.13
Kitsumkalum.Yearling,North Coast,2019,477,"4,5,6",4.19,7.97,0.84,0.00,4.40,0.00,0.00,0.00,0.00,11.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.86
Kitsumkalum,North Coast,1983,29,"3,4",31.03,10.34,0.00,10.34,0.00,0.00,0.00,0.00,48.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kitsumkalum,North Coast,1984,82,"3,4,5",57.32,0.00,0.00,18.29,0.00,0.00,0.00,0.00,24.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kitsumkalum,North Coast,1985,228,"4,5,6",25.00,0.00,1.32,7.02,0.00,0.00,0.00,0.00,10.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.70
Kitsumkalum,North Coast,1986,173,"3,5,6",12.72,0.00,0.00,17.34,0.00,0.00,0.00,0.00,10.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,56.07
Kitsumkalum,North Coast,1987,201,"3,4,6",17.41,0.00,3.48,12.94,0.50,0.00,0.00,0.00,8.96,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.00,51.74
Kitsumkalum,North Coast,1988,177,"3,4,5",27.68,1.69,5.08,8.47,0.56,0.00,0.00,0.00,20.90,3.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.39,0.00,0.00,0.00,0.00,28.81
Kitsumkalum,North Coast,1989,966,"3,4,5,6",12.53,0.62,6.00,4.55,1.55,0.00,0.00,0.00,9.32,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,60.87
Kitsumkalum,North Coast,1990,520,"3,4,5,6",14.23,0.00,3.85,9.62,0.96,0.00,0.00,0.38,8.27,1.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.88,0.00,0.00,0.00,0.00,53.46
Kitsumkalum,North Coast,1991,329,"3,4,5,6",20.06,0.00,4.26,10.94,3.95,0.00,0.00,0.91,14.89,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.38,0.00,0.00,0.00,0.00,35.56
Kitsumkalum,North Coast,1992,639,"3,4,5,6",16.43,0.00,2.03,8.45,3.91,0.47,0.00,0.00,9.86,2.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,0.00,0.00,0.00,0.00,55.40
Kitsumkalum,North Coast,1993,237,"3,4,5,6",11.81,2.11,2.11,11.39,2.95,0.00,0.00,0.00,18.14,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.21
Kitsumkalum,North Coast,1994,131,"3,4,5,6",13.74,0.00,0.00,6.11,3.82,0.00,0.00,0.00,18.32,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.73
Kitsumkalum,North Coast,1995,197,"3,4,5,6",13.71,0.00,3.55,10.66,2.54,0.00,0.00,0.00,27.41,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,0.00,0.00,0.00,0.00,37.06
Kitsumkalum,North Coast,1996,404,"3,4,5,6",13.86,0.25,8.66,0.25,0.50,0.00,0.00,0.00,23.27,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,0.00,0.00,0.00,0.00,47.52
Kitsumkalum,North Coast,1997,616,"3,4,5,6",12.66,0.00,9.42,0.00,3.73,0.00,0.00,0.00,8.12,2.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.36,0.00,0.00,0.00,0.00,58.60
Kitsumkalum,North Coast,1998,359,"3,4,5,6",15.32,0.00,4.74,0.00,0.56,0.00,0.00,0.00,1.67,2.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.01,0.00,0.00,0.00,0.00,70.47
Kitsumkalum,North Coast,1999,669,"3,4,5,6",13.90,0.00,10.76,0.00,12.26,0.00,0.00,0.00,2.24,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.00,0.00,0.00,0.00,58.74
